fdc_id,data_type,description,food_category_id,publication_date,sort_description,fields
167512,sr_legacy_food,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",18,2019-04-01,"pillsbury golden layer buttermilk biscuits, artificial flavor, refrigerated dough",2
167513,sr_legacy_food,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",18,2019-04-01,"pillsbury, cinnamon rolls with icing, refrigerated dough",2
167514,sr_legacy_food,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",18,2019-04-01,"kraft foods, shake n bake original recipe, coating for pork, dry",3
167515,sr_legacy_food,"George Weston Bakeries, Thomas English Muffins",18,2019-04-01,"george weston bakeries, thomas english muffins",1
167516,sr_legacy_food,"Waffles, buttermilk, frozen, ready-to-heat",18,2019-04-01,"waffles, buttermilk, frozen, ready-to-heat",3
167517,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, toasted",18,2019-04-01,"waffle, buttermilk, frozen, ready-to-heat, toasted",4
167518,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",18,2019-04-01,"waffle, buttermilk, frozen, ready-to-heat, microwaved",4
167519,sr_legacy_food,"Waffle, plain, frozen, ready-to-heat, microwave",18,2019-04-01,"waffle, plain, frozen, ready-to-heat, microwave",4
167520,sr_legacy_food,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",18,2019-04-01,"pie crust, cookie-type, graham cracker, ready crust",3
167521,sr_legacy_food,"Pie Crust, Cookie-type, Chocolate, Ready Crust",18,2019-04-01,"pie crust, cookie-type, chocolate, ready crust",3
167522,sr_legacy_food,"Pie, Dutch Apple, Commercially Prepared",18,2019-04-01,"pie, dutch apple, commercially prepared",2
167523,sr_legacy_food,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",18,2019-04-01,"pie crust, deep dish, frozen, unbaked, made with enriched flour",4
167524,sr_legacy_food,"Waffles, chocolate chip, frozen, ready-to-heat",18,2019-04-01,"waffles, chocolate chip, frozen, ready-to-heat",3
167525,sr_legacy_food,"Tostada shells, corn",18,2019-04-01,"tostada shells, corn",1
167526,sr_legacy_food,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",18,2019-04-01,"bread, salvadoran sweet cheese (quesadilla salvadorena)",1
167527,sr_legacy_food,"Bread, pound cake type, pan de torta salvadoran",18,2019-04-01,"bread, pound cake type, pan de torta salvadoran",2
167528,sr_legacy_food,"Pastry, Pastelitos de Guava (guava pastries)",18,2019-04-01,"pastry, pastelitos de guava (guava pastries)",1
167529,sr_legacy_food,"Crackers, snack, Goya Crackers",18,2019-04-01,"crackers, snack, goya crackers",2
167530,sr_legacy_food,"Crackers, cream, Gamesa Sabrosas",18,2019-04-01,"crackers, cream, gamesa sabrosas",2
167531,sr_legacy_food,"Crackers, cream, La Moderna Rikis Cream Crackers",18,2019-04-01,"crackers, cream, la moderna rikis cream crackers",2
167532,sr_legacy_food,"Bread, white wheat",18,2019-04-01,"bread, white wheat",1
167533,sr_legacy_food,"Bagels, wheat",18,2019-04-01,"bagels, wheat",1
167534,sr_legacy_food,"Cream puff, eclair, custard or cream filled, iced",18,2019-04-01,"cream puff, eclair, custard or cream filled, iced",3
167535,sr_legacy_food,"Tortillas, ready-to-bake or -fry, flour, shelf stable",18,2019-04-01,"tortillas, ready-to-bake or -fry, flour, shelf stable",3
167536,sr_legacy_food,"Snacks, beef jerky, chopped and formed",23,2019-04-01,"snacks, beef jerky, chopped and formed",2
167537,sr_legacy_food,"Snacks, corn-based, extruded, chips, plain",23,2019-04-01,"snacks, corn-based, extruded, chips, plain",4
167538,sr_legacy_food,"Snacks, corn-based, extruded, chips, barbecue-flavor",23,2019-04-01,"snacks, corn-based, extruded, chips, barbecue-flavor",4
167539,sr_legacy_food,"Snacks, corn-based, extruded, cones, plain",23,2019-04-01,"snacks, corn-based, extruded, cones, plain",4
167540,sr_legacy_food,"Snacks, fruit leather, pieces",19,2019-04-01,"snacks, fruit leather, pieces",2
167541,sr_legacy_food,"Snacks, fruit leather, rolls",19,2019-04-01,"snacks, fruit leather, rolls",2
167542,sr_legacy_food,"Snacks, granola bars, hard, plain",23,2019-04-01,"snacks, granola bars, hard, plain",3
167543,sr_legacy_food,"Snacks, granola bars, hard, almond",23,2019-04-01,"snacks, granola bars, hard, almond",3
167544,sr_legacy_food,"Snacks, granola bars, soft, uncoated, raisin",23,2019-04-01,"snacks, granola bars, soft, uncoated, raisin",4
167545,sr_legacy_food,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",23,2019-04-01,"snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",5
167546,sr_legacy_food,"Candies, honey-combed, with peanut butter",19,2019-04-01,"candies, honey-combed, with peanut butter",2
167547,sr_legacy_food,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",23,2019-04-01,"snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",5
167548,sr_legacy_food,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",23,2019-04-01,"snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",4
167549,sr_legacy_food,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",23,2019-04-01,"snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",5
167550,sr_legacy_food,"Snacks, popcorn, cakes",23,2019-04-01,"snacks, popcorn, cakes",2
167551,sr_legacy_food,"Snacks, popcorn, caramel-coated, with peanuts",23,2019-04-01,"snacks, popcorn, caramel-coated, with peanuts",3
167552,sr_legacy_food,"Snacks, popcorn, caramel-coated, without peanuts",23,2019-04-01,"snacks, popcorn, caramel-coated, without peanuts",3
167553,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, reduced fat",23,2019-04-01,"snacks, potato chips, made from dried potatoes, reduced fat",3
167554,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",23,2019-04-01,"snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",3
167555,sr_legacy_food,"Snacks, pretzels, hard, plain, salted",23,2019-04-01,"snacks, pretzels, hard, plain, salted",4
167556,sr_legacy_food,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",23,2019-04-01,"snacks, pretzels, hard, confectioner's coating, chocolate-flavor",4
167557,sr_legacy_food,"Snacks, rice cakes, brown rice, sesame seed",23,2019-04-01,"snacks, rice cakes, brown rice, sesame seed",3
167558,sr_legacy_food,"Snacks, tortilla chips, plain, white corn, salted",23,2019-04-01,"snacks, tortilla chips, plain, white corn, salted",4
167559,sr_legacy_food,"Snacks, tortilla chips, nacho cheese",23,2019-04-01,"snacks, tortilla chips, nacho cheese",2
167560,sr_legacy_food,"Snacks, tortilla chips, ranch-flavor",23,2019-04-01,"snacks, tortilla chips, ranch-flavor",2
167561,sr_legacy_food,"Snacks, trail mix, regular",23,2019-04-01,"snacks, trail mix, regular",2
167562,sr_legacy_food,"Candies, ALMOND JOY Candy Bar",19,2019-04-01,"candies, almond joy candy bar",1
167563,sr_legacy_food,"Candies, TWIZZLERS CHERRY BITES",19,2019-04-01,"candies, twizzlers cherry bites",1
167564,sr_legacy_food,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",19,2019-04-01,"candies, nestle, bit-o'-honey candy chews",2
167565,sr_legacy_food,"Candies, NESTLE, BUTTERFINGER Bar",19,2019-04-01,"candies, nestle, butterfinger bar",2
167566,sr_legacy_food,"Candies, caramels, chocolate-flavor roll",19,2019-04-01,"candies, caramels, chocolate-flavor roll",2
167567,sr_legacy_food,"Baking chocolate, unsweetened, liquid",19,2019-04-01,"baking chocolate, unsweetened, liquid",2
167568,sr_legacy_food,"Baking chocolate, unsweetened, squares",19,2019-04-01,"baking chocolate, unsweetened, squares",2
167569,sr_legacy_food,"Candies, confectioner's coating, yogurt",19,2019-04-01,"candies, confectioner's coating, yogurt",2
167570,sr_legacy_food,"Candies, confectioner's coating, peanut butter",19,2019-04-01,"candies, confectioner's coating, peanut butter",2
167571,sr_legacy_food,"Candies, white chocolate",19,2019-04-01,"candies, white chocolate",1
