"id","name","units","dri","title"
"1008","Calories","kcal",2500,1
"","","",0,0
"1005","Carbohydrates","g",300,1
"1079","Dietary Fiber","g",35,0
"2000","Sugar","g",0,0
"1003","Protein","g",100,1
"1004","Total Fat","g",80,1
"1258","Saturated Fat","g",30,0
"1292","Monounsaturated Fat","g",0,0
"1293","Polyunsaturated Fat","g",0,0
"1257","Trans Fat","g",0,0
"1404","Omega-3 (ALA)","g",0,0
"1278","Omega-3 (EPA)","g",0,0
"1280","Omega-3 (DHA)","g",0,0
"1051","Water","g",0,1
"","","",0,0
"","Vitamins","",0,1
"1106","Vitamin A","ug",900,0
"1162","Vitamin C","ug",90,0
"1114","Vitamin D","ug",15,0
"1175","Vitamin B-6","mg",1.3,0
"1248","Vitamin E","mg",15,0
"1185","Vitamin K","ug",120,0
"1165","Thiamin","mg",1.2,0
"1178","Vitamin B-12","ug",2.4,0
"1166","Riboflavin","mg",1.3,0
"1177","Folate","ug",400,0
"1167","Niacin","mg",16,0
"1180","Choline","mg",550,0
"1170","Pantothenic Acid","mg",5,0
"1176","Biotin","ug",30,0
"","","",0,0
"","Minerals","",0,1
"1087","Calcium","mg",1000,0
"1088","Chloride","g",2.3,0
"1096","Chromium","ug",35,0
"1098","Copper","mg",0.9,0
"1099","Fluoride","ug",4000,0
"1100","Iodine","ug",150,0
"1089","Iron","mg",8,0
"1090","Magnesium","mg",400,0
"1101","Manganese","mg",2.3,0
"1102","Molybdenum","ug",45,0
"1091","Phosphorus","mg",700,0
"1092","Potassium","mg",3400,0
"1103","Selenium","ug",55,0
"1093","Sodium","mg",1500,0
"1095","Zinc","mg",11,0
"","","",0,0
"1018","Alcohol","g",0,1
"1009","Starch","g",0,1
"1201","Caffeine","mg",0,1
